season,player,player_id,name_key,team_norm,team_name,grades_run_block,snap_counts_run_block,season_max_te_run_block_snaps,eligible_te_run_block,te_run_block_grade_percentile,te_run_block_volume_factor,te_run_block_base_war_bump,te_run_block_war_adjustment,te_run_block_epa_adjustment,source_run_block_file
2022,Jake Ferguson,61081,j_ferguson,DAL,DAL,56.2,311,457,True,0.46116504854368934,0.6805251641137856,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Peyton Hendershot,60915,p_hendershot,DAL,DAL,54.5,174,457,True,0.4077669902912621,0.38074398249452956,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Sean McKeon,42266,s_mckeon,DAL,DAL,45.8,109,457,True,0.1553398058252427,0.23851203501094093,-0.1,-0.023851203501094095,-1.0733041575492344,offense_run_blockng (3).csv
2022,Albert Okwuegbunam,41933,a_okwuegbunam,DEN,DEN,75.2,37,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Eric Saubert,11929,e_saubert,DEN,DEN,56.5,175,457,True,0.5048543689320388,0.38293216630196936,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Eric Tomlinson,9786,e_tomlinson,DEN,DEN,61.5,245,457,True,0.7038834951456311,0.5361050328227571,0.12,0.06433260393873086,2.8949671772428887,offense_run_blockng (3).csv
2022,Greg Dulcich,84068,g_dulcich,DEN,DEN,33.8,151,457,True,0.02912621359223301,0.3304157549234136,-0.1,-0.03304157549234136,-1.4868708971553612,offense_run_blockng (3).csv
2022,Brock Wright,60994,b_wright,DET,DET,44.2,333,457,True,0.1262135922330097,0.7286652078774617,-0.1,-0.07286652078774618,-3.278993435448578,offense_run_blockng (3).csv
2022,Garrett Griffin,11439,g_griffin,DET,DET,54.0,5,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,James Mitchell,77885,j_mitchell,DET,DET,42.8,92,457,True,0.0970873786407767,0.2013129102844639,-0.1,-0.020131291028446394,-0.9059080962800877,offense_run_blockng (3).csv
2022,Shane Zylstra,143786,s_zylstra,DET,DET,74.8,86,457,True,0.9902912621359223,0.18818380743982493,0.3,0.056455142231947475,2.5404814004376366,offense_run_blockng (3).csv
2022,Josiah Deguara,47034,j_deguara,GB,GB,48.2,133,457,True,0.2087378640776699,0.2910284463894967,-0.1,-0.029102844638949674,-1.3096280087527352,offense_run_blockng (3).csv
2022,Marcedes Lewis,2973,m_lewis,GB,GB,66.6,256,457,True,0.9223300970873787,0.5601750547045952,0.3,0.16805251641137856,7.562363238512035,offense_run_blockng (3).csv
2022,Robert Tonyan,12193,r_tonyan,GB,GB,46.3,191,457,True,0.1796116504854369,0.4179431072210066,-0.1,-0.04179431072210066,-1.8807439824945296,offense_run_blockng (3).csv
2022,Tyler Davis,47743,t_davis,GB,GB,62.7,108,457,True,0.7669902912621359,0.2363238512035011,0.12,0.02835886214442013,1.2761487964989058,offense_run_blockng (3).csv
2022,Brevin Jordan,77887,b_jordan,HOU,HST,44.3,103,457,True,0.13592233009708737,0.22538293216630198,-0.1,-0.0225382932166302,-1.014223194748359,offense_run_blockng (3).csv
2022,Jordan Akins,47050,j_akins,HOU,HST,51.6,80,457,True,0.34951456310679613,0.175054704595186,-0.05,-0.0087527352297593,-0.3938730853391685,offense_run_blockng (3).csv
2022,Mason Schreck,12007,m_schreck,HOU,HST,60.0,21,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,O.J. Howard,11774,o_howard,HOU,HST,49.4,147,457,True,0.2621359223300971,0.32166301969365424,-0.05,-0.01608315098468271,-0.723741794310722,offense_run_blockng (3).csv
2022,Teagan Quitoriano,84036,t_quitoriano,HOU,HST,44.0,155,457,True,0.11650485436893204,0.33916849015317285,-0.1,-0.03391684901531729,-1.526258205689278,offense_run_blockng (3).csv
2022,Jelani Woods,60509,j_woods,IND,IND,50.3,108,457,True,0.2912621359223301,0.2363238512035011,-0.05,-0.011816192560175055,-0.5317286652078775,offense_run_blockng (3).csv
2022,Kylen Granson,40630,k_granson,IND,IND,37.5,149,457,True,0.04854368932038835,0.32603938730853393,-0.1,-0.0326039387308534,-1.467177242888403,offense_run_blockng (3).csv
2022,Mo Alie-Cox,12078,m_aliecox,IND,IND,49.3,262,457,True,0.24757281553398058,0.5733041575492341,-0.1,-0.05733041575492342,-2.5798687089715537,offense_run_blockng (3).csv
2022,Nikola Kalinic,156095,n_kalinic,IND,IND,58.5,40,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Chris Manhertz,10211,c_manhertz,JAC,JAX,63.0,290,457,True,0.7864077669902912,0.6345733041575492,0.12,0.07614879649890591,3.4266958424507656,offense_run_blockng (3).csv
2022,Dan Arnold,51842,d_arnold,JAC,JAX,54.9,92,457,True,0.4174757281553398,0.2013129102844639,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Evan Engram,11778,e_engram,JAC,JAX,60.1,321,457,True,0.6116504854368932,0.7024070021881839,0.06,0.04214442013129103,1.8964989059080963,offense_run_blockng (3).csv
2022,Luke Farrell,42353,l_farrell,JAC,JAX,56.4,74,457,True,0.49029126213592233,0.16192560175054704,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Blake Bell,9550,b_bell,KC,KC,57.7,23,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Jody Fortson,94384,j_fortson,KC,KC,67.7,82,457,True,0.9320388349514563,0.17943107221006566,0.3,0.053829321663019694,2.422319474835886,offense_run_blockng (3).csv
2022,Noah Gray,60878,n_gray,KC,KC,58.0,315,457,True,0.5242718446601942,0.6892778993435449,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Travis Kelce,7844,t_kelce,KC,KC,61.2,292,457,True,0.6844660194174758,0.6389496717724289,0.06,0.03833698030634573,1.725164113785558,offense_run_blockng (3).csv
2022,Brycen Hopkins,47338,b_hopkins,LA,LA,62.7,78,457,True,0.7669902912621359,0.17067833698030635,0.12,0.02048140043763676,0.9216630196936543,offense_run_blockng (3).csv
2022,Jared Pinkney,47214,j_pinkney,LA,LA,60.0,2,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Kendall Blanton,47311,k_blanton,LA,LA,44.9,12,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Roger Carter,55200,r_carter,LA,LA,60.0,1,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Tyler Higbee,10744,t_higbee,LA,LA,50.2,351,457,True,0.2815533980582524,0.7680525164113785,-0.05,-0.03840262582056893,-1.7281181619256019,offense_run_blockng (3).csv
2022,Donald Parham Jr.,91014,d_parham,LAC,LAC,63.1,69,457,True,0.8009708737864077,0.15098468271334792,0.2,0.030196936542669583,1.3588621444201312,offense_run_blockng (3).csv
2022,Gerald Everett,11799,g_everett,LAC,LAC,48.2,188,457,True,0.2087378640776699,0.4113785557986871,-0.1,-0.04113785557986871,-1.851203501094092,offense_run_blockng (3).csv
2022,Richard Rodgers,8733,r_rodgers,LAC,LAC,42.7,52,457,True,0.08737864077669903,0.1137855579868709,-0.1,-0.01137855579868709,-0.5120350109409191,offense_run_blockng (3).csv
2022,Stone Smartt,60492,s_smartt,LAC,LAC,40.9,24,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Tre' McKitty,60896,t_mckitty,LAC,LAC,37.7,267,457,True,0.05825242718446602,0.5842450765864332,-0.1,-0.05842450765864332,-2.6291028446389495,offense_run_blockng (3).csv
2022,Darren Waller,9637,d_waller,LV,LV,49.3,80,457,True,0.24757281553398058,0.175054704595186,-0.1,-0.0175054704595186,-0.787746170678337,offense_run_blockng (3).csv
2022,Foster Moreau,47043,f_moreau,LV,LV,40.8,321,457,True,0.06796116504854369,0.7024070021881839,-0.1,-0.07024070021881838,-3.1608315098468274,offense_run_blockng (3).csv
