season,player_id,player_name,team,teams,unit,position_group,war_model,raw_epa,final_epa,raw_war,final_war,rank,volume,volume_type,efficiency,success_rate,source_file,model_version,player_key,pff_player_name,grades_run_block,snap_counts_run_block,season_max_te_run_block_snaps,eligible_te_run_block,te_run_block_grade_percentile,te_run_block_volume_factor,te_run_block_base_war_bump,te_run_block_war_adjustment,te_run_block_epa_adjustment,is_te_pff_match,final_war_pre_te_block_adj,final_epa_pre_te_block_adj
2022,00-0033857,J.Smith-Schuster,KC,KC,Skill,Pass Catcher,Role-Adjusted Skill WAR,48.642162269153296,43.75698341061287,1.0809369393145176,0.9723774091247304,15,102.0,opportunities,0.4768839438152284,0.6666666666666666,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033857,,,,,,,0.0,0.0,0.0,0.0,False,0.9723774091247304,43.75698341061287
2022,00-0037247,G.Pickens,PIT,PIT,Skill,Pass Catcher,Role-Adjusted Skill WAR,47.432763485300526,42.5475846267601,1.054061410784456,0.9455018805946688,16,88.0,opportunities,0.5390086759693241,0.5113636363636364,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0037247,,,,,,,0.0,0.0,0.0,0.0,False,0.9455018805946688,42.5475846267601
2022,00-0034351,D.Goedert,PHI,PHI,Skill,Pass Catcher,Role-Adjusted Skill WAR,45.187987072817165,40.30280821427674,1.0041774905070482,0.8956179603172609,17,69.0,opportunities,0.6548983633741619,0.7246376811594203,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0034351,Dallas Goedert,56.4,419.0,457.0,True,0.49029126213592233,0.9168490153172867,0.0,0.0,0.0,True,0.8956179603172609,40.30280821427674
2022,00-0036261,B.Aiyuk,SF,SF,Skill,Pass Catcher,Role-Adjusted Skill WAR,43.48507928743424,38.59990042889381,0.9663350952763164,0.8577755650865292,19,116.0,opportunities,0.3748713731675365,0.5603448275862069,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0036261,,,,,,,0.0,0.0,0.0,0.0,False,0.8577755650865292,38.59990042889381
2022,00-0033357,T.Hill,NO,NO,Skill,RB,Role-Adjusted Skill WAR,22.684343359626645,38.62632446912909,0.5040965191028144,0.8583627659806464,18,108.0,opportunities,0.2100402162928393,0.5,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033357,Taysom Hill,60.6,74.0,457.0,True,0.6504854368932039,0.16192560175054704,0.06,0.009715536105032823,0.43719912472647704,True,0.8486472298756136,38.18912534440261
2022,00-0033280,C.McCaffrey,SF,"CAR,SF",Skill,RB,Role-Adjusted Skill WAR,22.572758068427177,38.07754005320314,0.5016168459650484,0.8461675567378476,20,354.0,opportunities,0.0637648533006417,0.4350282485875706,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033280,,,,,,,0.0,0.0,0.0,0.0,False,0.8461675567378476,38.07754005320314
2022,00-0034791,N.Chubb,CLE,CLE,Skill,RB,Role-Adjusted Skill WAR,22.24265350656072,37.74743549133668,0.4942811890346826,0.8388318998074817,21,340.0,opportunities,0.0654195691369432,0.4470588235294118,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0034791,,,,,,,0.0,0.0,0.0,0.0,False,0.8388318998074817,37.74743549133668
2022,00-0033891,Z.Jones,JAX,JAX,Skill,Pass Catcher,Role-Adjusted Skill WAR,42.002527799756784,37.11734894121636,0.933389506661262,0.8248299764714746,22,126.0,opportunities,0.333353395236165,0.5555555555555556,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033891,,,,,,,0.0,0.0,0.0,0.0,False,0.8248299764714746,37.11734894121636
2022,00-0033288,G.Kittle,SF,SF,Skill,Pass Catcher,Role-Adjusted Skill WAR,39.60728645684706,47.45405508189526,0.8801619212632681,1.05453455737545,12,86.0,opportunities,0.4605498425214774,0.5465116279069767,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033288,George Kittle,69.5,431.0,457.0,True,0.9514563106796117,0.9431072210065645,0.3,0.2829321663019693,12.73194748358862,True,0.7716023910734808,34.72210759830664
2022,00-0037228,J.Warren,PIT,PIT,Skill,RB,Role-Adjusted Skill WAR,19.001363331154018,34.506145315929984,0.4222525184700892,0.7668032292428885,24,110.0,opportunities,0.1727396666468547,0.4454545454545454,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0037228,,,,,,,0.0,0.0,0.0,0.0,False,0.7668032292428885,34.506145315929984
2022,00-0037263,T.Allgeier,ATL,ATL,Skill,RB,Role-Adjusted Skill WAR,18.46789885798342,33.97268084275939,0.4103977523996315,0.7549484631724308,25,228.0,opportunities,0.0809995563946641,0.4385964912280701,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0037263,,,,,,,0.0,0.0,0.0,0.0,False,0.7549484631724308,33.97268084275939
2022,00-0032211,T.Lockett,SEA,SEA,Skill,Pass Catcher,Role-Adjusted Skill WAR,38.25288152779135,33.36770266925092,0.8500640339509188,0.7415045037611315,26,117.0,opportunities,0.326947705365738,0.6239316239316239,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0032211,,,,,,,0.0,0.0,0.0,0.0,False,0.7415045037611315,33.36770266925092
2022,00-0034960,J.Meyers,NE,NE,Skill,Pass Catcher,Role-Adjusted Skill WAR,38.08403675285516,33.19885789431473,0.8463119278412257,0.7377523976514384,27,100.0,opportunities,0.3808403675285515,0.53,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0034960,,,,,,,0.0,0.0,0.0,0.0,False,0.7377523976514384,33.19885789431473
2022,00-0038124,C.Watson,GB,GB,Skill,Pass Catcher,Role-Adjusted Skill WAR,37.36044183260299,32.47526297406256,0.8302320407245108,0.7216725105347236,28,73.0,opportunities,0.511786874419219,0.547945205479452,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0038124,,,,,,,0.0,0.0,0.0,0.0,False,0.7216725105347236,32.47526297406256
2022,00-0035535,D.Slayton,NYG,NYG,Skill,Pass Catcher,Role-Adjusted Skill WAR,35.254165374586414,30.368986516045982,0.7834258972130315,0.6748663670232442,30,71.0,opportunities,0.4965375404871326,0.5352112676056338,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0035535,,,,,,,0.0,0.0,0.0,0.0,False,0.6748663670232442,30.368986516045982
