season,player_id,player_name,position_group,receiving_epa,targets,receptions,receiving_successes,receiving_yards,receiving_tds,air_epa,yac_epa,air_yards,yards_after_catch,primary_team,teams,rushing_epa,carries,rushing_successes,rushing_yards,rushing_tds,total_epa,opportunities,touches,total_successes,war,epa_per_opportunity,epa_per_touch,success_rate,qualified_skill,raw_war_rank,qualified_war_rank,role_replacement_war,role_replacement_epa,raw_skill_war,raw_skill_epa,role_adjusted_skill_war,role_adjusted_skill_epa,role_adjusted_skill_war_rank,team,pff_player_name,grades_run_block,snap_counts_run_block,season_max_te_run_block_snaps,eligible_te_run_block,te_run_block_grade_percentile,te_run_block_volume_factor,te_run_block_base_war_bump,te_run_block_war_adjustment,te_run_block_epa_adjustment,is_te_pff_match,role_adjusted_skill_war_pre_te_block_adj,role_adjusted_skill_epa_pre_te_block_adj,war_pre_te_block_adj,total_epa_pre_te_block_adj
2022,00-0031544,A.Cooper,Pass Catcher,52.51798704082712,133.0,78.0,69.0,1160.0,9.0,171.56757942191325,-118.10259238108614,1642.0,299.0,CLE,CLE,0.0,0.0,0.0,0.0,0.0,52.51798704082712,133.0,78.0,69.0,1.167066378685047,0.3948720830137377,0.6733075261644502,0.518796992481203,True,11,11,0.1085595301897872,4.885178858540427,1.167066378685047,52.51798704082712,1.0585068484952598,47.63280818228669,11,,,,,,,,0.0,0.0,0.0,0.0,False,1.0585068484952598,47.63280818228669,1.167066378685047,52.51798704082712
2022,00-0035659,T.McLaurin,Pass Catcher,48.66001507444928,120.0,77.0,68.0,1191.0,5.0,125.3227624244464,-76.66274734999713,1549.0,382.0,WAS,WAS,1.2876101505244153,7.0,4.0,29.0,0.0,49.9476252249737,127.0,84.0,72.0,1.1099472272216375,0.3932883875982181,0.5946145860115917,0.5669291338582677,True,12,12,0.1085595301897872,4.885178858540427,1.1099472272216375,49.9476252249737,1.0013876970318505,45.06244636643327,13,,,,,,,,0.0,0.0,0.0,0.0,False,1.0013876970318505,45.06244636643327,1.1099472272216375,49.9476252249737
2022,00-0036407,J.Jeudy,Pass Catcher,47.38234580733356,100.0,67.0,49.0,972.0,6.0,81.26408164005213,-33.88173583271857,1146.0,396.0,DEN,DEN,1.5015500135486946,4.0,3.0,40.0,0.0,48.88389582088225,104.0,71.0,52.0,1.0863087960196056,0.4700374598161755,0.6885055749420036,0.5,True,13,13,0.1085595301897872,4.885178858540427,1.0863087960196056,48.88389582088225,0.9777492658298184,43.998716962341824,14,,,,,,,,0.0,0.0,0.0,0.0,False,0.9777492658298184,43.998716962341824,1.0863087960196056,48.88389582088225
2022,00-0033857,J.Smith-Schuster,Pass Catcher,48.642162269153296,102.0,78.0,68.0,933.0,3.0,40.602037824637776,8.987124444515523,750.0,457.0,KC,KC,0.0,0.0,0.0,0.0,0.0,48.642162269153296,102.0,78.0,68.0,1.0809369393145176,0.4768839438152284,0.6236174649891448,0.6666666666666666,True,14,14,0.1085595301897872,4.885178858540427,1.0809369393145176,48.642162269153296,0.9723774091247304,43.75698341061287,15,,,,,,,,0.0,0.0,0.0,0.0,False,0.9723774091247304,43.75698341061287,1.0809369393145176,48.642162269153296
2022,00-0037247,G.Pickens,Pass Catcher,45.34910952230421,85.0,52.0,43.0,803.0,4.0,111.51396482447888,-67.21785530217468,1240.0,104.0,PIT,PIT,2.0836539629963227,3.0,2.0,24.0,1.0,47.432763485300526,88.0,55.0,45.0,1.054061410784456,0.5390086759693241,0.8624138815509187,0.5113636363636364,True,15,15,0.1085595301897872,4.885178858540427,1.054061410784456,47.432763485300526,0.9455018805946688,42.5475846267601,16,,,,,,,,0.0,0.0,0.0,0.0,False,0.9455018805946688,42.5475846267601,1.054061410784456,47.432763485300526
2022,00-0034351,D.Goedert,Pass Catcher,45.187987072817165,69.0,55.0,50.0,702.0,3.0,12.815809518913737,32.37217755390343,424.0,420.0,PHI,PHI,0.0,0.0,0.0,0.0,0.0,45.187987072817165,69.0,55.0,50.0,1.0041774905070482,0.6548983633741619,0.8215997649603121,0.7246376811594203,True,16,16,0.1085595301897872,4.885178858540427,1.0041774905070482,45.187987072817165,0.8956179603172609,40.30280821427674,17,,Dallas Goedert,56.4,419.0,457.0,True,0.49029126213592233,0.9168490153172867,0.0,0.0,0.0,True,0.8956179603172609,40.30280821427674,1.0041774905070482,45.187987072817165
2022,00-0036261,B.Aiyuk,Pass Catcher,41.96144646964898,114.0,78.0,63.0,1015.0,8.0,75.62626103875016,-33.664814569101175,1143.0,375.0,SF,SF,1.5236328177852556,2.0,2.0,23.0,0.0,43.48507928743424,116.0,80.0,65.0,0.9663350952763164,0.3748713731675365,0.543563491092928,0.5603448275862069,True,17,17,0.1085595301897872,4.885178858540427,0.9663350952763164,43.48507928743424,0.8577755650865292,38.59990042889381,19,,,,,,,,0.0,0.0,0.0,0.0,False,0.8577755650865292,38.59990042889381,0.9663350952763164,43.48507928743424
2022,00-0033357,T.Hill,RB,2.5954024618511946,13.0,9.0,6.0,77.0,2.0,0.0476613281061872,2.547741133745008,75.0,37.0,NO,NO,20.08894089777545,95.0,48.0,575.0,7.0,23.12154248435312,108.0,104.0,54.0,0.5138120552078472,0.2100402162928393,0.2181186861502562,0.5,True,47,45,-0.3445507107727992,-15.504781984775963,0.5040965191028144,22.684343359626645,0.8583627659806464,38.62632446912909,18,,Taysom Hill,60.6,74.0,457.0,True,0.6504854368932039,0.16192560175054704,0.06,0.009715536105032823,0.43719912472647704,True,0.8486472298756136,38.18912534440261,0.5040965191028144,22.684343359626645
2022,00-0033280,C.McCaffrey,RB,20.57155959950457,108.0,85.0,56.0,737.0,6.0,-54.72129189578118,75.29285149528576,133.0,695.0,SF,"CAR,SF",2.001198468922601,246.0,98.0,1139.0,8.0,22.572758068427177,354.0,331.0,154.0,0.5016168459650484,0.0637648533006417,0.0681956437112603,0.4350282485875706,True,48,46,-0.3445507107727992,-15.504781984775963,0.5016168459650484,22.572758068427177,0.8461675567378476,38.07754005320314,20,,,,,,,,0.0,0.0,0.0,0.0,False,0.8461675567378476,38.07754005320314,0.5016168459650484,22.572758068427177
2022,00-0034791,N.Chubb,RB,7.964626396220411,37.0,27.0,20.0,239.0,1.0,-21.432745137484744,29.397371533705154,0.0,259.0,CLE,CLE,14.278027110340306,303.0,132.0,1527.0,12.0,22.24265350656072,340.0,330.0,152.0,0.4942811890346826,0.0654195691369432,0.0674019803229112,0.4470588235294118,True,51,49,-0.3445507107727992,-15.504781984775963,0.4942811890346826,22.24265350656072,0.8388318998074817,37.74743549133668,21,,,,,,,,0.0,0.0,0.0,0.0,False,0.8388318998074817,37.74743549133668,0.4942811890346826,22.24265350656072
